Disponibilita,Necessari,Scadenza,Dimensione,Utilizzati,Y
1146,652,11,100,765,72
174,207,2,1000,668,1
2487,228,7,1000,750,2
709,377,18,500,408,13
3671,257,13,100,931,78
456,187,4,250,925,10
4489,984,1,750,738,0
1082,384,11,1000,784,7
3678,481,7,250,757,5
2871,531,16,500,980,25
946,258,7,750,199,1
1588,991,2,100,247,0
1411,448,4,750,288,0
1024,288,17,500,373,10
4279,846,7,100,442,0
2581,987,11,750,998,11
149,979,13,500,951,24
3785,504,16,100,564,52
2470,496,5,750,843,2
56,695,9,250,72,5
4802,757,6,1000,975,1
4270,33,20,500,261,1
1054,828,18,250,264,17
3720,156,5,1000,625,0
3633,948,12,250,229,0
3394,78,11,100,757,43
3002,680,18,750,411,6
1440,723,17,250,971,59
680,577,18,750,741,17
4339,314,12,250,764,18
4522,942,10,1000,318,0
1662,140,15,750,22,0
3442,819,12,500,399,4
1743,394,16,500,353,8
2143,458,6,1000,585,1
1977,285,19,500,351,9
4351,477,6,250,918,3
562,289,10,1000,886,8
145,843,1,250,207,3
4336,97,4,750,881,0
4049,547,2,750,984,0
4825,380,5,100,184,0
4283,272,9,100,979,38
1712,707,18,100,394,57
3532,926,10,1000,995,6
3294,29,6,250,405,0
1987,166,11,750,248,1
190,283,11,500,337,7
1355,151,2,500,73,0
1080,285,13,750,105,1
2246,466,8,250,557,8
1767,35,20,500,189,4
4845,164,16,1000,909,9
4807,910,1,1000,436,0
2514,998,8,500,998,11
439,643,20,500,522,20
2547,976,10,100,147,0
1621,273,15,750,847,14
4574,936,11,250,952,24
3876,110,9,750,747,3
1083,826,10,1000,222,2
4203,488,15,1000,600,5
505,730,8,750,192,2
4261,641,19,750,520,8
443,869,1,250,927,2
4346,787,12,100,228,0
3965,312,6,250,424,0
1694,396,6,750,163,0
4484,962,9,250,731,9
1078,309,12,250,374,13
2961,540,20,250,672,41
1102,592,11,750,723,9
9,605,9,1000,665,6
3197,934,9,500,41,0
1732,431,18,500,382,10
4030,485,16,750,464,5
2674,655,11,100,746,54
3203,494,4,250,270,0
3844,232,6,750,171,0
2983,260,0,500,812,0
1078,384,0,100,576,0
552,555,18,1000,694,12
1276,421,15,750,970,17
2627,924,16,500,352,7
3563,31,5,750,278,0
1717,602,19,750,335,7
748,653,0,1000,147,0
746,381,19,250,223,15
2075,282,3,500,595,0
865,636,5,750,640,3
1852,22,8,500,876,9
2219,488,10,1000,515,3
86,911,8,100,679,56
653,65,8,750,349,2
2048,256,1,750,832,0
4456,274,6,100,385,0
4215,669,1,500,250,0
2686,453,12,1000,180,0
3463,247,4,750,184,0
2790,770,5,750,504,0
2639,51,12,100,724,54
488,730,19,1000,431,8
1339,549,18,1000,529,8
2034,775,8,750,742,5
3681,964,0,100,283,0
2734,51,0,100,578,0
1912,24,14,500,590,12
1073,728,6,750,260,1
3836,580,9,250,517,4
4387,870,6,500,157,0
1857,797,10,100,411,26
3971,121,7,1000,684,0
1684,386,0,100,847,0
3280,842,13,250,270,3
2739,275,5,100,746,5
3727,553,10,250,14,0
4355,684,11,500,947,12
4682,263,11,100,140,0
2658,942,14,250,358,12
4247,765,19,750,993,19
2918,525,4,750,251,0
4615,644,20,750,942,19
1897,919,13,100,877,95
4252,76,19,1000,527,5
1995,653,5,100,935,24
421,534,16,500,723,22
3104,832,16,500,869,22
3559,604,3,750,588,0
3077,291,19,500,209,2
3529,169,3,750,412,0
2890,724,17,100,947,130
4594,794,7,750,682,0
2013,134,18,500,537,14
4644,648,18,1000,263,0
1026,482,2,1000,160,0
1251,666,3,500,99,0
3094,744,17,1000,88,0
2332,890,14,1000,625,7
1785,23,17,100,857,120
460,639,13,100,628,77
972,422,11,100,901,85
3532,847,17,250,145,0
3060,667,15,500,214,1
1830,74,13,750,36,0
3711,108,11,250,609,10
1459,438,16,100,807,111
3390,569,13,750,536,5
4743,785,9,750,19,0
4891,975,18,1000,799,10
1523,40,4,250,723,3
4825,999,1,750,623,0
589,63,15,1000,307,4
2408,186,13,500,394,5
1795,308,11,250,683,21
4492,65,11,500,629,4
4850,921,3,500,410,0
4596,570,2,100,109,0
2502,215,1,250,928,0
121,102,18,250,944,64
4665,12,8,250,161,0
1955,305,8,250,355,3
3762,256,9,250,449,0
4239,83,19,1000,648,8
4303,803,12,250,453,6
255,2,20,250,918,69
1571,636,8,250,477,10
1401,280,7,1000,642,3
4636,646,18,1000,893,11
2924,820,13,1000,932,9
2892,843,18,750,62,0
2650,238,20,250,34,0
2071,642,20,500,189,4
1257,22,9,250,146,0
3190,170,14,500,974,19
1390,319,16,750,16,0
2085,486,8,250,977,21
2761,604,13,100,819,77
1135,997,16,750,392,8
3289,92,13,1000,934,8
1270,190,5,750,240,0
3336,738,14,500,505,8
2845,56,15,1000,616,6
2164,129,0,1000,91,0
1474,965,19,100,15,0
466,9,9,1000,545,4
1427,495,13,500,373,7
